player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Zay Jones,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.21,42.27,282.99,1.94,53.54,105,245,
Xavier Hutchinson,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.06,46.53,283.84,1.94,52.37,106,246,
Jalen Coker,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.32,46.01,319.91,1.31,52.33,107,247,
DeAndre Carter,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.64,41.38,326.04,1.47,52.3,108,248,
Jake Bobo,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.1,39.84,278.63,2.04,51.81,109,249,
Kalif Raymond,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.78,32.34,279.71,1.94,48.64,110,253,
Jalin Hyatt,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.21,38.2,276.16,1.38,46.16,111,259,
Robert Woods,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,23.79,41.04,248.5,1.57,45.55,112,260,
Elijah Moore,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.52,38.76,237.78,1.88,45.48,113,261,
Tyler Johnson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.03,36.51,233.74,1.71,44.31,114,265,
